Tweet_ID,Timestamp,User_name,Location,Language,Tweet_text,Hashtags,ReTweets,Likes,Sentiment,cleaned_text
100042,2025-06-07 10:10:00,@sanghasaira,Delhi,Hindi,मैं फिल्म देखने गया था।,"#फिल्म,#दिल्ली",24,75,Neutral,मैं फिल्म देखने गया था।
100043,2025-06-07 10:10:00,@sanghviheer,Kerala,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಸಿನಿಮಾ,7,12,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100044,2025-06-07 10:11:00,@tiya51,Gujarat,unknown,Enjoying the weekend vibes!,#policy,10,47,Positive,Enjoying the weekend vibes!
100045,2025-06-07 10:11:00,@adira27,Jharkhand,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,#ಸಿನಿಮಾ,30,103,Neutral,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.
100046,2025-06-07 10:11:00,@sensaira,Punjab,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,#ಸಿನಿಮಾ,5,158,Neutral,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.
100047,2025-06-07 10:11:00,@damini28,Bihar,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,"#ಬೆಂಗಳೂರು,#ಮಳೆ",91,80,Neutral,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.
100048,2025-06-07 10:12:00,@virkmishti,Telangana,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,"#ಮಳೆ,#ಬೆಂಗಳೂರು",40,192,Neutral,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.
100049,2025-06-07 10:12:00,@navya89,Maharashtra,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,"#ಸಿನಿಮಾ,#ಮಳೆ",68,54,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100050,2025-06-07 10:12:00,@indransgrover,Rajasthan,unknown,Enjoying the weekend vibes!,#weekend,8,62,Positive,Enjoying the weekend vibes!
100051,2025-06-07 10:12:00,@hrishitasood,Jharkhand,Hindi,मैं फिल्म देखने गया था।,#दिल्ली,69,180,Neutral,मैं फिल्म देखने गया था।
100052,2025-06-07 10:13:00,@ramsamarth,Jharkhand,Hindi,दिल्ली की ट्रैफिक बहुत ज्यादा है।,#फिल्म,70,76,Neutral,दिल्ली की ट्रैफिक बहुत ज्यादा है।
100053,2025-06-07 10:13:00,@handra,Maharashtra,English,The new policy is disappointing.,#weekend,13,190,Negative,The new policy is disappointing.
100054,2025-06-07 10:13:00,@zara43,Odisha,English,The new policy is disappointing.,"#weekend,#policy",43,52,Negative,The new policy is disappointing.
100055,2025-06-07 10:13:00,@darajiya,Uttar Pradesh,English,Traffic is crazy in Bangalore today.,"#traffic,#weekend",6,23,Negative,Traffic is crazy in Bangalore today.
100056,2025-06-07 10:14:00,@basaksana,Kerala,English,Enjoying the weekend vibes!,"#policy,#traffic",98,33,Positive,Enjoying the weekend vibes!
100057,2025-06-07 10:14:00,@etandon,Telangana,unknown,Enjoying the weekend vibes!,#traffic,70,180,Positive,Enjoying the weekend vibes!
100058,2025-06-07 10:14:00,@gokulsahni,Maharashtra,Hindi,दिल्ली की ट्रैफिक बहुत ज्यादा है।,#मौसम,88,38,Neutral,दिल्ली की ट्रैफिक बहुत ज्यादा है।
100059,2025-06-07 10:14:00,@kmaharaj,West Bengal,English,The new policy is disappointing.,"#traffic,#policy",16,10,Negative,The new policy is disappointing.
100060,2025-06-07 10:15:00,@eva96,Tamil Nadu,Hindi,मैं फिल्म देखने गया था।,#दिल्ली,87,63,Neutral,मैं फिल्म देखने गया था।
100061,2025-06-07 10:15:00,@hrishitashroff,Punjab,English,The new policy is disappointing.,"#traffic,#weekend",95,39,Negative,The new policy is disappointing.
100062,2025-06-07 10:15:00,@riyadugal,Karnataka,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಬೆಂಗಳೂರು,22,188,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100063,2025-06-07 10:15:00,@psampath,Delhi,Hindi,मैं फिल्म देखने गया था।,#दिल्ली,100,179,Neutral,मैं फिल्म देखने गया था।
100064,2025-06-07 10:16:00,@advika87,Tamil Nadu,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,#ಬೆಂಗಳೂರು,25,117,Neutral,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.
100065,2025-06-07 10:16:00,@dasguptamamooty,Karnataka,Hindi,मैं फिल्म देखने गया था।,#मौसम,84,49,Neutral,मैं फिल्म देखने गया था।
100066,2025-06-07 10:16:00,@garaakarsh,Kerala,Hindi,मैं फिल्म देखने गया था।,"#मौसम,#दिल्ली",82,130,Neutral,मैं फिल्म देखने गया था।
100067,2025-06-07 10:16:00,@khushichoudhary,Rajasthan,Hindi,दिल्ली की ट्रैफिक बहुत ज्यादा है।,"#मौसम,#फिल्म",33,45,Neutral,दिल्ली की ट्रैफिक बहुत ज्यादा है।
100068,2025-06-07 10:17:00,@banikrhea,Punjab,unknown,Enjoying the weekend vibes!,#policy,55,88,Positive,Enjoying the weekend vibes!
100069,2025-06-07 10:17:00,@contractordarshit,West Bengal,unknown,Enjoying the weekend vibes!,"#traffic,#policy",73,48,Positive,Enjoying the weekend vibes!
100070,2025-06-07 10:17:00,@vasashalv,Kerala,Hindi,आज मौसम बहुत अच्छा है।,"#मौसम,#फिल्म",55,17,Neutral,आज मौसम बहुत अच्छा है।
100071,2025-06-07 10:17:00,@kurianmiraan,Odisha,unknown,Enjoying the weekend vibes!,"#traffic,#policy",38,129,Positive,Enjoying the weekend vibes!
100072,2025-06-07 10:18:00,@oorja73,Odisha,Hindi,दिल्ली की ट्रैफिक बहुत ज्यादा है।,"#दिल्ली,#फिल्म",37,141,Neutral,दिल्ली की ट्रैफिक बहुत ज्यादा है।
100073,2025-06-07 10:18:00,@samairawadhwa,Bihar,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,"#ಸಿನಿಮಾ,#ಬೆಂಗಳೂರು",95,44,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100074,2025-06-07 10:18:00,@ydara,Uttar Pradesh,English,Traffic is crazy in Bangalore today.,"#weekend,#policy",36,53,Negative,Traffic is crazy in Bangalore today.
100075,2025-06-07 10:18:00,@aswamy,Telangana,Hindi,दिल्ली की ट्रैफिक बहुत ज्यादा है।,"#दिल्ली,#फिल्म",86,54,Neutral,दिल्ली की ट्रैफिक बहुत ज्यादा है।
100076,2025-06-07 10:19:00,@divitbava,Maharashtra,unknown,Enjoying the weekend vibes!,#traffic,36,131,Positive,Enjoying the weekend vibes!
100077,2025-06-07 10:19:00,@bgoel,Bihar,English,Traffic is crazy in Bangalore today.,"#policy,#traffic",39,57,Negative,Traffic is crazy in Bangalore today.
100078,2025-06-07 10:19:00,@ukaur,Tamil Nadu,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಮಳೆ,60,156,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100079,2025-06-07 10:19:00,@samraneysa,Odisha,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,"#ಸಿನಿಮಾ,#ಮಳೆ",89,98,Neutral,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.
100080,2025-06-07 10:20:00,@balasubramanianyuvaan,Bihar,Hindi,मैं फिल्म देखने गया था।,#मौसम,88,1,Neutral,मैं फिल्म देखने गया था।
100081,2025-06-07 10:20:00,@yasmin13,Assam,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,#ಮಳೆ,89,132,Neutral,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.
100082,2025-06-07 10:20:00,@kanavloyal,Telangana,Hindi,आज मौसम बहुत अच्छा है।,#मौसम,17,118,Neutral,आज मौसम बहुत अच्छा है।
100083,2025-06-07 10:20:00,@bboase,Jharkhand,English,Traffic is crazy in Bangalore today.,"#weekend,#traffic",70,114,Negative,Traffic is crazy in Bangalore today.
100084,2025-06-07 10:21:00,@ranbirkashyap,Assam,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,"#ಬೆಂಗಳೂರು,#ಸಿನಿಮಾ",31,163,Neutral,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.
100085,2025-06-07 10:21:00,@dhanukkant,Uttar Pradesh,Hindi,दिल्ली की ट्रैफिक बहुत ज्यादा है।,"#फिल्म,#मौसम",56,19,Neutral,दिल्ली की ट्रैफिक बहुत ज्यादा है।
100086,2025-06-07 10:21:00,@bakshinehmat,Kerala,unknown,Enjoying the weekend vibes!,#weekend,40,138,Positive,Enjoying the weekend vibes!
100087,2025-06-07 10:21:00,@batrasuhana,West Bengal,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಮಳೆ,88,39,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100088,2025-06-07 10:22:00,@ivanjani,West Bengal,English,The new policy is disappointing.,#weekend,42,138,Negative,The new policy is disappointing.
100089,2025-06-07 10:22:00,@nkhosla,Jharkhand,Hindi,मैं फिल्म देखने गया था।,#मौसम,53,99,Neutral,मैं फिल्म देखने गया था।
100090,2025-06-07 10:22:00,@dzacharia,West Bengal,English,Traffic is crazy in Bangalore today.,#traffic,61,1,Negative,Traffic is crazy in Bangalore today.
100091,2025-06-07 10:22:00,@vaibhavagarwal,Telangana,Hindi,मैं फिल्म देखने गया था।,"#दिल्ली,#मौसम",28,69,Neutral,मैं फिल्म देखने गया था।
100092,2025-06-07 10:23:00,@ydeo,Kerala,Hindi,मैं फिल्म देखने गया था।,#दिल्ली,85,173,Neutral,मैं फिल्म देखने गया था।
100093,2025-06-07 10:23:00,@bdhar,Rajasthan,Hindi,दिल्ली की ट्रैफिक बहुत ज्यादा है।,#दिल्ली,16,159,Neutral,दिल्ली की ट्रैफिक बहुत ज्यादा है।
100094,2025-06-07 10:23:00,@mbrahmbhatt,Maharashtra,English,The new policy is disappointing.,"#traffic,#policy",82,109,Negative,The new policy is disappointing.
100095,2025-06-07 10:23:00,@madhav09,Uttar Pradesh,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,#ಮಳೆ,48,83,Neutral,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.
100096,2025-06-07 10:24:00,@shenoysaksham,Uttar Pradesh,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,"#ಬೆಂಗಳೂರು,#ಸಿನಿಮಾ",96,107,Neutral,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.
100097,2025-06-07 10:24:00,@bakshikeya,Kerala,Hindi,आज मौसम बहुत अच्छा है।,"#मौसम,#फिल्म",28,166,Neutral,आज मौसम बहुत अच्छा है।
100098,2025-06-07 10:24:00,@hkrishnamurthy,Tamil Nadu,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,#ಮಳೆ,25,5,Neutral,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.
100099,2025-06-07 10:24:00,@bhavinkumar,Telangana,English,The new policy is disappointing.,#policy,85,29,Negative,The new policy is disappointing.
100100,2025-06-07 10:25:00,@varghesekabir,Assam,English,The new policy is disappointing.,"#traffic,#weekend",47,42,Negative,The new policy is disappointing.
100101,2025-06-07 10:25:00,@rajandarshit,Uttar Pradesh,English,Traffic is crazy in Bangalore today.,#policy,13,148,Negative,Traffic is crazy in Bangalore today.
100102,2025-06-07 10:25:00,@yuvaanbhasin,Maharashtra,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,"#ಬೆಂಗಳೂರು,#ಮಳೆ",75,176,Neutral,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.
100103,2025-06-07 10:25:00,@kavyarajan,Assam,English,The new policy is disappointing.,#traffic,38,175,Negative,The new policy is disappointing.
100104,2025-06-07 10:26:00,@raodhanush,Gujarat,English,The new policy is disappointing.,#weekend,54,169,Negative,The new policy is disappointing.
100105,2025-06-07 10:26:00,@lsaha,Jharkhand,Hindi,आज मौसम बहुत अच्छा है।,"#मौसम,#दिल्ली",62,27,Neutral,आज मौसम बहुत अच्छा है।
100106,2025-06-07 10:26:00,@pranay35,West Bengal,Hindi,मैं फिल्म देखने गया था।,"#फिल्म,#मौसम",22,187,Neutral,मैं फिल्म देखने गया था।
100107,2025-06-07 10:26:00,@prerakhora,Telangana,English,Traffic is crazy in Bangalore today.,"#traffic,#weekend",55,187,Negative,Traffic is crazy in Bangalore today.
100108,2025-06-07 10:27:00,@oorjaroy,Uttar Pradesh,unknown,Enjoying the weekend vibes!,"#policy,#traffic",57,62,Positive,Enjoying the weekend vibes!
100109,2025-06-07 10:27:00,@amira51,Telangana,Hindi,दिल्ली की ट्रैफिक बहुत ज्यादा है।,"#दिल्ली,#मौसम",41,46,Neutral,दिल्ली की ट्रैफिक बहुत ज्यादा है।
100110,2025-06-07 10:27:00,@karnikmisha,Uttar Pradesh,Hindi,आज मौसम बहुत अच्छा है।,"#दिल्ली,#फिल्म",76,179,Neutral,आज मौसम बहुत अच्छा है।
100111,2025-06-07 10:27:00,@bansalheer,Tamil Nadu,Hindi,दिल्ली की ट्रैफिक बहुत ज्यादा है।,#फिल्म,10,61,Neutral,दिल्ली की ट्रैफिक बहुत ज्यादा है।
100112,2025-06-07 10:28:00,@dishanideo,Odisha,unknown,Enjoying the weekend vibes!,"#traffic,#policy",60,165,Positive,Enjoying the weekend vibes!
100113,2025-06-07 10:28:00,@stuvanwadhwa,Uttar Pradesh,unknown,Enjoying the weekend vibes!,"#policy,#traffic",28,103,Positive,Enjoying the weekend vibes!
100114,2025-06-07 10:28:00,@wablenirvaan,Telangana,English,The new policy is disappointing.,"#traffic,#weekend",70,135,Negative,The new policy is disappointing.
100115,2025-06-07 10:28:00,@raunak27,Uttar Pradesh,Hindi,मैं फिल्म देखने गया था।,"#दिल्ली,#फिल्म",39,64,Neutral,मैं फिल्म देखने गया था।
100116,2025-06-07 10:29:00,@manjari80,Maharashtra,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಬೆಂಗಳೂರು,95,137,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100117,2025-06-07 10:29:00,@nitara12,Odisha,English,The new policy is disappointing.,#policy,61,70,Negative,The new policy is disappointing.
100118,2025-06-07 10:29:00,@farhan18,Uttar Pradesh,English,Traffic is crazy in Bangalore today.,"#policy,#traffic",29,92,Negative,Traffic is crazy in Bangalore today.
100119,2025-06-07 10:29:00,@purabdhaliwal,Gujarat,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,#ಸಿನಿಮಾ,16,70,Neutral,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.
100120,2025-06-07 10:30:00,@saanvigarg,Bihar,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,"#ಸಿನಿಮಾ,#ಮಳೆ",96,125,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100121,2025-06-07 10:30:00,@piyaravel,Telangana,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,"#ಬೆಂಗಳೂರು,#ಸಿನಿಮಾ",43,47,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100122,2025-06-07 10:30:00,@dishani74,West Bengal,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,"#ಮಳೆ,#ಸಿನಿಮಾ",62,18,Neutral,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.
100123,2025-06-07 10:30:00,@batramyra,Delhi,English,Traffic is crazy in Bangalore today.,#policy,72,77,Negative,Traffic is crazy in Bangalore today.
100124,2025-06-07 10:31:00,@rthakkar,Assam,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಸಿನಿಮಾ,53,155,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100125,2025-06-07 10:31:00,@agarwalshamik,West Bengal,English,Traffic is crazy in Bangalore today.,#traffic,57,113,Negative,Traffic is crazy in Bangalore today.
